Medical_Term,Frequency
diplopia,106
substance,106
mean,106
lipitor,106
sacral,106
mesh,106
peak,106
adenoid,106
okay,106
pectoralis,106
gelfoam,105
anticoagulation,105
sensitivity,105
hydrocephalus,105
attempts,105
hook,105
osseous,105
power,105
embolism,105
pulposus,105
incident,105
fibrosis,105
glands,105
lymphatic,105
jackson,105
heel,105
stiffness,105
cords,105
weak,105
fasting,105
bleed,105
deviation,105
weighted,104
involvement,104
cast,104
cleansed,104
angina,104
migraine,104
larger,104
yellow,104
exposing,104
explored,104
dye,104
sometimes,104
collection,104
medium,104
levaquin,103
personal,103
waves,103
thumb,103
sepsis,103
stricture,103
broad,103
against,103
request,103
scarring,103
grafts,103
maneuver,103
shift,103
fundus,103
neurology,103
remarkable,103
smoker,102
appendicitis,102
leaving,102
para,102
bilirubin,102
damage,102
bimanual,102
sternal,102
lifting,102
progress,102
closely,102
gestational,102
ent,102
dense,102
fiberoptic,102
diminished,102
beneath,102
strap,102
asymmetry,101
alone,101
laparoscopy,101
drift,101
prostatic,101
yyyy,101
nodule,101
sedated,101
seated,101
amplitude,101
suggested,101
jaw,101
specifically,101
accommodation,101
lips,101
seven,101
hypercholesterolemia,101
wrapped,100
protect,100
labrum,100
visible,100
medrol,100
rheumatoid,100
deficiency,100
apical,100
gravida,100
ruptured,100
mostly,100
firm,100
cath,100
beyond,100
bulb,100
rhinitis,100
bifurcation,100
developmental,100
pap,100
cosmetic,100
cephalad,100
secretions,100
undyed,99
saturations,99
localized,99
cholecystitis,99
romberg,99
grams,99
average,99
borderline,99
spontaneously,99
begun,99
orthopnea,99
exchanged,99
pedal,99
receiving,99
april,99
deficit,99
referral,99
drop,99
factor,98
transfusion,98
cpt,98
enhancement,98
testes,98
remains,98
compatible,98
digitorum,98
screen,98
own,98
ends,98
